material,task,condition,role,structure_index,distance,retained_pcs_95pct
NaCl,deformation,lambda=1/6,low,0,3.6588475823259947,14
NaCl,deformation,lambda=1/6,low,1,3.35368380761319,14
NaCl,deformation,lambda=1/6,low,2,3.328508785850294,14
NaCl,deformation,lambda=1/6,low,3,3.0862792547934514,14
NaCl,deformation,lambda=1/6,low,4,3.8792135513138786,14
NaCl,deformation,lambda=1/6,low,5,3.61590641676347,14
NaCl,deformation,lambda=1/6,low,6,2.8196814964945616,14
NaCl,deformation,lambda=1/6,low,7,2.5710318522932263,14
NaCl,deformation,lambda=1/6,low,8,3.554583438093021,14
NaCl,deformation,lambda=1/6,low,9,2.9830694896911085,14
NaCl,deformation,lambda=1/6,low,10,3.6648469354029447,14
NaCl,deformation,lambda=1/6,low,11,4.079909787169511,14
NaCl,deformation,lambda=1/6,low,12,4.281175299587426,14
NaCl,deformation,lambda=1/6,low,13,4.398033678443267,14
NaCl,deformation,lambda=1/6,low,14,3.4467352131895,14
NaCl,deformation,lambda=1/6,low,15,3.239553553564899,14
NaCl,deformation,lambda=1/6,low,16,3.5344192744114222,14
NaCl,deformation,lambda=1/6,low,17,3.366319033966612,14
NaCl,deformation,lambda=1/6,low,18,4.13604490521592,14
NaCl,deformation,lambda=1/6,low,19,3.8568724854326626,14
NaCl,deformation,lambda=1/6,low,20,3.1872816769899144,14
NaCl,deformation,lambda=1/6,low,21,6.044935725334481,14
NaCl,deformation,lambda=1/6,low,22,2.6620175448646837,14
NaCl,deformation,lambda=1/6,low,23,4.123943753656467,14
NaCl,deformation,lambda=1/6,low,24,3.154911875455285,14
NaCl,deformation,lambda=1/6,low,25,4.006383909141354,14
NaCl,deformation,lambda=1/6,low,26,3.49958790947085,14
NaCl,deformation,lambda=1/6,low,27,3.553774266117473,14
NaCl,deformation,lambda=1/6,low,28,2.861096312899936,14
NaCl,deformation,lambda=1/6,low,29,2.888623019737302,14
NaCl,deformation,lambda=1/6,low,30,3.0556598568025923,14
NaCl,deformation,lambda=1/6,low,31,2.726621905403494,14
NaCl,deformation,lambda=1/6,low,32,2.449968097498236,14
NaCl,deformation,lambda=1/6,low,33,3.0247025422256812,14
NaCl,deformation,lambda=1/6,low,34,3.2884776920648617,14
NaCl,deformation,lambda=1/6,low,35,2.943622740099319,14
NaCl,deformation,lambda=1/6,low,36,4.9300961423478595,14
NaCl,deformation,lambda=1/6,low,37,3.8960755462472814,14
NaCl,deformation,lambda=1/6,low,38,3.354412030646996,14
NaCl,deformation,lambda=1/6,low,39,2.709643672317997,14
NaCl,deformation,lambda=1/6,low,40,3.099873112022371,14
NaCl,deformation,lambda=1/6,low,41,5.408299339189785,14
NaCl,deformation,lambda=1/6,low,42,3.2190472393851874,14
NaCl,deformation,lambda=1/6,low,43,3.7633688290139093,14
NaCl,deformation,lambda=1/6,low,44,3.5306807896269095,14
NaCl,deformation,lambda=1/6,low,45,4.161137049266323,14
NaCl,deformation,lambda=1/6,low,46,2.821699457318679,14
NaCl,deformation,lambda=1/6,low,47,2.5666073955279045,14
NaCl,deformation,lambda=1/6,low,48,2.6712791964834666,14
NaCl,deformation,lambda=1/6,low,49,2.2561384828964806,14
NaCl,deformation,lambda=1/6,low,50,3.5243107570203653,14
NaCl,deformation,lambda=1/6,low,51,2.1672256820492586,14
NaCl,deformation,lambda=1/6,low,52,3.3602143399815287,14
NaCl,deformation,lambda=1/6,low,53,2.415959368319666,14
NaCl,deformation,lambda=1/6,low,54,4.920008902351949,14
NaCl,deformation,lambda=1/6,low,55,3.850896678139302,14
NaCl,deformation,lambda=1/6,low,56,4.5754447013477,14
NaCl,deformation,lambda=1/6,low,57,3.4063987308186516,14
NaCl,deformation,lambda=1/6,low,58,2.619217104417791,14
NaCl,deformation,lambda=1/6,low,59,3.1582772938516848,14
NaCl,deformation,lambda=1/6,low,60,3.729734920642756,14
NaCl,deformation,lambda=1/6,low,61,2.9397824130394365,14
NaCl,deformation,lambda=1/6,low,62,3.4779288577142626,14
NaCl,deformation,lambda=1/6,low,63,4.197103570496636,14
NaCl,deformation,lambda=1/6,low,64,4.251787293786111,14
NaCl,deformation,lambda=1/6,low,65,4.2291005394233085,14
NaCl,deformation,lambda=1/6,low,66,3.0997822622429467,14
NaCl,deformation,lambda=1/6,low,67,4.814131419572684,14
NaCl,deformation,lambda=1/6,low,68,3.9740006133147854,14
NaCl,deformation,lambda=1/6,low,69,4.627706338852409,14
NaCl,deformation,lambda=1/6,low,70,3.5212551445675593,14
NaCl,deformation,lambda=1/6,low,71,3.2302928802778035,14
NaCl,deformation,lambda=1/6,low,72,4.0100047819988545,14
NaCl,deformation,lambda=1/6,low,73,3.4427758134213358,14
NaCl,deformation,lambda=1/6,low,74,3.6108616807620995,14
NaCl,deformation,lambda=1/6,low,75,3.696098663240022,14
NaCl,deformation,lambda=1/6,low,76,4.366295053795605,14
NaCl,deformation,lambda=1/6,low,77,4.067636836316012,14
NaCl,deformation,lambda=1/6,low,78,4.939666647226265,14
NaCl,deformation,lambda=1/6,low,79,3.3989184851630267,14
NaCl,deformation,lambda=1/3,low,0,10.577010376294496,14
NaCl,deformation,lambda=1/3,low,1,4.061657516908801,14
NaCl,deformation,lambda=1/3,low,2,4.3865660698253395,14
NaCl,deformation,lambda=1/3,low,3,4.0732181622166825,14
NaCl,deformation,lambda=1/3,low,4,4.2296514178327,14
NaCl,deformation,lambda=1/3,low,5,3.99961509420998,14
NaCl,deformation,lambda=1/3,low,6,3.6141920778221235,14
NaCl,deformation,lambda=1/3,low,7,5.5647336501188835,14
NaCl,deformation,lambda=1/3,low,8,3.41923007998502,14
NaCl,deformation,lambda=1/3,low,9,4.170946056971976,14
