method,atoms,replicate,seconds
Baseline,64,1,0.016082851216197014
Baseline,64,2,0.015933428891003132
Baseline,64,3,0.01607874035835266
Baseline,64,4,0.015984819270670414
Baseline,64,5,0.015963989309966564
Baseline,64,6,0.016062588430941105
Baseline,64,7,0.016174050979316235
Baseline,64,8,0.016089029610157013
Baseline,64,9,0.01604377944022417
Baseline,64,10,0.01596990879625082
Baseline,64,11,0.015995399095118046
Baseline,64,12,0.016116040758788586
Baseline,64,13,0.01604065950959921
Baseline,64,14,0.016012919135391712
Baseline,64,15,0.01605014968663454
Baseline,64,16,0.016046499833464622
Baseline,64,17,0.01605066005140543
Baseline,64,18,0.016023130156099796
Baseline,64,19,0.016080469824373722
Baseline,64,20,0.015855848789215088
IC model,64,1,0.01636675000190735
IC model,64,2,0.016267389990389347
IC model,64,3,0.01643448043614626
IC model,64,4,0.01641276106238365
IC model,64,5,0.0163850300014019
IC model,64,6,0.016358579508960247
IC model,64,7,0.01641045231372118
IC model,64,8,0.016373060643672943
IC model,64,9,0.01639964058995247
IC model,64,10,0.016415932215750217
IC model,64,11,0.016337350942194462
IC model,64,12,0.01641285140067339
IC model,64,13,0.016480231657624245
IC model,64,14,0.016352521255612373
IC model,64,15,0.016440480947494507
IC model,64,16,0.016526950523257256
IC model,64,17,0.016397020779550076
IC model,64,18,0.016649181954562664
IC model,64,19,0.016453180462121964
IC model,64,20,0.016403631307184696
Ewald-QEq,64,1,0.06441138032823801
Ewald-QEq,64,2,0.06448644958436489
Ewald-QEq,64,3,0.06386600714176893
Ewald-QEq,64,4,0.06402201764285564
Ewald-QEq,64,5,0.06399646773934364
Baseline,216,1,0.05388658121228218
Baseline,216,2,0.054131350480020046
Baseline,216,3,0.05420552287250757
Baseline,216,4,0.05450510233640671
Baseline,216,5,0.0541209802031517
Baseline,216,6,0.053967530839145184
Baseline,216,7,0.054162681102752686
Baseline,216,8,0.05432257242500782
Baseline,216,9,0.05392173118889332
Baseline,216,10,0.05434980243444443
Baseline,216,11,0.054081881418824196
Baseline,216,12,0.05401709210127592
Baseline,216,13,0.05382672045379877
Baseline,216,14,0.053908709436655045
Baseline,216,15,0.05406741052865982
Baseline,216,16,0.054022541269659996
Baseline,216,17,0.05375202000141144
Baseline,216,18,0.05397854186594486
Baseline,216,19,0.05406698118895292
Baseline,216,20,0.05401791073381901
IC model,216,1,0.05469754338264465
IC model,216,2,0.054894713684916496
IC model,216,3,0.05477650463581085
IC model,216,4,0.0545325530692935
IC model,216,5,0.05453029274940491
IC model,216,6,0.05463957320898771
IC model,216,7,0.05456507299095392
IC model,216,8,0.0547825638204813
IC model,216,9,0.05441697221249342
IC model,216,10,0.054509423673152924
IC model,216,11,0.05445834156125784
IC model,216,12,0.05442929174751043
IC model,216,13,0.05453089252114296
IC model,216,14,0.05488498508930206
IC model,216,15,0.05435805208981037
