method,atoms,repeats,median_s,q25_s,q75_s,mean_s,std_s
Baseline,64,20,0.016045139636844397,0.015992754139006138,0.016079172724857926,0.016032748157158494,6.814480025347105e-05
Baseline,216,20,0.05404476122930646,0.05395608092658222,0.054139183135703206,0.05406568320468068,0.0001779137443467168
Baseline,512,20,0.1283488478511572,0.12790965824387968,0.12857896042987704,0.12832826147787274,0.0004849354001423715
Baseline,1000,20,0.24980201944708824,0.24895785609260201,0.250171888852492,0.24968208060599864,0.0007970502954140141
IC model,64,20,0.016407041810452938,0.016371482983231544,0.01643598056398332,0.01641387389972806,7.572983176079749e-05
IC model,216,20,0.05453172279521823,0.05445107910782099,0.05470976117067039,0.054572296096011996,0.00017003105675727635
IC model,512,20,0.12906282488256693,0.12897382699884474,0.12919943872839212,0.12908605025149883,0.00038530512379734186
IC model,1000,20,0.2502987361513078,0.25004369020462036,0.2505943523719907,0.25035080388188363,0.00040890896815452284
Ewald-QEq,64,5,0.06402201764285564,0.06399646773934364,0.06441138032823801,0.06415646448731423,0.00024572856291309213
Ewald-QEq,216,5,0.12261044606566429,0.1225231047719717,0.12266388721764088,0.12255955394357443,0.00015229365915586754
Ewald-QEq,512,5,0.4133872278034687,0.413269997574389,0.41443158220499754,0.41375754550099375,0.0014245358912335323
Ewald-QEq,1000,5,1.3500092243775725,1.3492300705984235,1.3539270078763366,1.3552109327167272,0.00951762876893136
