task,stage,network,train_size,total_epochs,seed,structures,atoms,mae_atom,rmse_atom,neutrality_abs_mean,raw_neutrality_abs_mean,mean_abs_charge_correction,element_mae_Cs,element_rmse_Cs,element_mae_I,element_rmse_I,element_mae_Pb,element_rmse_Pb,mode,run_id
temperature,temperature_ood_0600K,small,5,300,0,100,32000,0.031846812332444824,0.046159109401015086,5.4978244179437755e-15,1.8829829111695289,0.005884321597404778,0.0478175103473186,0.06188410363088422,0.02337258568655428,0.03607085983289049,0.04129879425524268,0.0540402982414446,baseline,temperature__temperature_low_train__baseline__small__n005_te0300_r1_seed0
temperature,temperature_ood_0900K,small,5,300,0,100,32000,0.04829567342544615,0.07763325887850119,4.547612286742719e-15,7.967992106825113,0.024899975333828477,0.056036933166426016,0.07765317687798337,0.040056068038800734,0.07385303562018326,0.06527322984440252,0.08798741915916371,baseline,temperature__temperature_low_train__baseline__small__n005_te0300_r1_seed0
temperature,temperature_ood_1200K,small,5,300,0,100,32000,0.07700757623372483,0.15617550882862555,6.0829119519212326e-15,15.19621687375009,0.04748817773046903,0.07464968266527285,0.10963459721985287,0.0689426563776918,0.17598757028256254,0.10356022937027592,0.13045814731154756,baseline,temperature__temperature_low_train__baseline__small__n005_te0300_r1_seed0
temperature,temperature_ood_0600K,small,5,300,1,100,32000,0.029112702154001455,0.046085908480138674,5.977440764581843e-15,1.621633363813162,0.005067604261916131,0.04480846523787477,0.0566146584161217,0.0170211108072884,0.026893594728700107,0.04969171311026731,0.07241918904772235,baseline,temperature__temperature_low_train__baseline__small__n005_te0300_r1_seed1
temperature,temperature_ood_0900K,small,5,300,1,100,32000,0.04185640435368404,0.07439118079491365,5.314360063124468e-15,5.260887673944235,0.016440273981075733,0.052224810277606594,0.06888394961848857,0.027767361709362982,0.05843940653145939,0.0737551263627247,0.1126043856961959,baseline,temperature__temperature_low_train__baseline__small__n005_te0300_r1_seed1
temperature,temperature_ood_1200K,small,5,300,1,100,32000,0.06946232128612172,0.1664232288465758,5.0759396685862156e-15,9.209298553839325,0.028779057980747893,0.06833322712238442,0.09201322281434043,0.052883472894694326,0.1636823195688417,0.12032796062414126,0.2228033148487876,baseline,temperature__temperature_low_train__baseline__small__n005_te0300_r1_seed1
temperature,temperature_ood_0600K,small,5,300,2,100,32000,0.03904566320778103,0.051777474351157746,4.89830398464619e-15,0.9261428135633468,0.0028941962923854595,0.0508297315898235,0.06632588235272406,0.0324074069519993,0.04167332684006569,0.04717636359308381,0.061606923890905156,baseline,temperature__temperature_low_train__baseline__small__n005_te0300_r1_seed2
temperature,temperature_ood_0900K,small,5,300,2,100,32000,0.050812873036804374,0.07028504270799724,5.012656956182582e-15,4.387800009399652,0.013711875029373915,0.05942499921943818,0.08116177775972223,0.04029615590040824,0.05355700491557609,0.07375089826335897,0.09750714664385018,baseline,temperature__temperature_low_train__baseline__small__n005_te0300_r1_seed2
temperature,temperature_ood_1200K,small,5,300,2,100,32000,0.07731344624660816,0.11876946689576096,6.05016037269479e-15,7.918013394586742,0.02474379185808357,0.07776928315263466,0.11027819694222306,0.060061305455801024,0.08790556011502654,0.128614031713003,0.18758328314452466,baseline,temperature__temperature_low_train__baseline__small__n005_te0300_r1_seed2
temperature,temperature_ood_0600K,small,5,600,0,100,32000,0.025443436553166252,0.0359313990110409,4.910516437917067e-15,1.8325559958815574,0.005726737487129867,0.03492819862862234,0.045359162985381,0.018479518640427458,0.02609127826882134,0.03685042821592651,0.048534617569479084,baseline,temperature__temperature_low_train__baseline__small__n005_te0600_r1_seed0
temperature,temperature_ood_0900K,small,5,600,0,100,32000,0.03976111462234403,0.058676320148834886,5.450639939397206e-15,7.075951896607876,0.022112349676899613,0.04211146310149343,0.05785421987732271,0.03144867061990469,0.048280222929573374,0.062348098150512676,0.0829126178276945,baseline,temperature__temperature_low_train__baseline__small__n005_te0600_r1_seed0
temperature,temperature_ood_1200K,small,5,600,0,100,32000,0.06508319589655438,0.11120194765560465,5.242473122279989e-15,12.43789641931653,0.038868426310364156,0.05879317175859614,0.08529145759392294,0.05420974277875454,0.1123265924431203,0.10399357938791218,0.1292398660006063,baseline,temperature__temperature_low_train__baseline__small__n005_te0600_r1_seed0
