task,stage,network,train_size,total_epochs,seed,structures,atoms,mae_atom,rmse_atom,neutrality_abs_mean,raw_neutrality_abs_mean,mean_abs_charge_correction,element_mae_Cl,element_rmse_Cl,element_mae_Na,element_rmse_Na,mode,run_id
temperature,temperature_ood_0600K,small,5,300,0,320,69120,0.04859812504914565,0.06263753246803891,7.577792560109487e-15,0.5886080440599472,0.002725037241018274,0.04695008182940083,0.0605281868963583,0.05024616826889048,0.06467812256403845,baseline,temperature_low_train__baseline__small__n005_te0300_r1_seed0
temperature,temperature_ood_0650K,small,5,300,0,320,69120,0.05453625876288303,0.06973445476325318,6.908536243077634e-15,0.537398740556091,0.0024879571322041255,0.0529284801877015,0.0675063109022143,0.05614403733806458,0.07189357656028798,baseline,temperature_low_train__baseline__small__n005_te0300_r1_seed0
temperature,temperature_ood_0700K,small,5,300,0,320,69120,0.06105836512646787,0.07748580600559586,6.900903459783336e-15,0.522460029926151,0.002418796434843292,0.05934403727756652,0.07483257930722594,0.06277269297536921,0.08005114202121924,baseline,temperature_low_train__baseline__small__n005_te0300_r1_seed0
temperature,temperature_ood_0600K,small,5,300,1,320,69120,0.022746865121005433,0.031753524557292745,8.376285776101611e-15,0.27442873138934376,0.0012705033860617768,0.027729312029122013,0.03807594141671966,0.017764418212888856,0.023807463721524803,baseline,temperature_low_train__baseline__small__n005_te0300_r1_seed1
temperature,temperature_ood_0650K,small,5,300,1,320,69120,0.025448079853030707,0.035248719024149305,8.040963728195294e-15,0.22762237647548317,0.0010538072984976074,0.030147294826509838,0.04172693646024381,0.020748864879551576,0.027272828223886617,baseline,temperature_low_train__baseline__small__n005_te0300_r1_seed1
temperature,temperature_ood_0700K,small,5,300,1,320,69120,0.028402958764885144,0.03886626857817628,8.292325159864333e-15,0.21574317906051874,0.000998811014169068,0.032708645805332295,0.04526586936730873,0.02409727172443799,0.031179716753101005,baseline,temperature_low_train__baseline__small__n005_te0300_r1_seed1
temperature,temperature_ood_0600K,small,5,300,2,320,69120,0.04994539207554823,0.06502326413171919,7.073681917990626e-15,2.0124821318779142,0.009317046906842194,0.05087738249510248,0.06702202312001664,0.049013401655993986,0.06296108459665059,baseline,temperature_low_train__baseline__small__n005_te0300_r1_seed2
temperature,temperature_ood_0650K,small,5,300,2,320,69120,0.05856257190391737,0.07478119215738203,6.941669461468791e-15,2.4354433768894523,0.01127520081893265,0.0594420009861684,0.07675619934620913,0.05768314282166636,0.07275258938954406,baseline,temperature_low_train__baseline__small__n005_te0300_r1_seed2
temperature,temperature_ood_0700K,small,5,300,2,320,69120,0.06825588840510297,0.08590618273565921,6.1364108239203576e-15,2.884279526019236,0.01335314595379276,0.06913243676795783,0.08820719295934994,0.0673793400422481,0.08354181931617813,baseline,temperature_low_train__baseline__small__n005_te0300_r1_seed2
temperature,temperature_ood_0600K,small,5,600,0,320,69120,0.03949993343500674,0.052049090906517895,7.407269242420966e-15,0.5209524278528989,0.0024118167956152722,0.03910352624352351,0.05124535504803493,0.03989634062648995,0.05284060289579187,baseline,temperature_low_train__baseline__small__n005_te0600_r1_seed0
temperature,temperature_ood_0650K,small,5,600,0,320,69120,0.04600388131434013,0.059610769809153245,6.914954719938748e-15,0.48824336659163237,0.002260385956442743,0.04559272803951136,0.05854266685044497,0.046415034589168916,0.06066006851725049,baseline,temperature_low_train__baseline__small__n005_te0600_r1_seed0
temperature,temperature_ood_0700K,small,5,600,0,320,69120,0.0532347973753874,0.0680039273978756,7.300930693343588e-15,0.4899926173267886,0.0022684843394758726,0.05274192508995476,0.066571010850058,0.053727669660820015,0.0694072676127834,baseline,temperature_low_train__baseline__small__n005_te0600_r1_seed0
temperature,temperature_ood_0600K,small,5,600,1,320,69120,0.015046438371120035,0.02149955552300495,8.34783631109559e-15,0.21073778895661235,0.0009756379118361683,0.01750554911874041,0.02509535383684138,0.01258732762349966,0.01716639132657984,baseline,temperature_low_train__baseline__small__n005_te0600_r1_seed1
temperature,temperature_ood_0650K,small,5,600,1,320,69120,0.017451590729408814,0.02462714303963842,8.416531360744273e-15,0.19542389260604978,0.0009047402435465268,0.019613039316510497,0.028298290641625815,0.015290142142307138,0.020302686899809474,baseline,temperature_low_train__baseline__small__n005_te0600_r1_seed1
temperature,temperature_ood_0700K,small,5,600,1,320,69120,0.020167511940275194,0.027999830168502455,8.27532486979976e-15,0.1977507371455431,0.0009155126719701069,0.02206440396418965,0.03168276363391413,0.01827061991636074,0.023752546546580818,baseline,temperature_low_train__baseline__small__n005_te0600_r1_seed1
temperature,temperature_ood_0600K,small,5,600,2,320,69120,0.039006969505649206,0.05161255446882921,8.029861497949042e-15,1.398125485656783,0.006472803174336958,0.04104014245804562,0.054762581428995746,0.03697379655325281,0.04825734382276272,baseline,temperature_low_train__baseline__small__n005_te0600_r1_seed2
temperature,temperature_ood_0650K,small,5,600,2,320,69120,0.046619258528856435,0.060166252247059675,7.289828463097337e-15,1.6841748817823827,0.007797105934177698,0.04836367163225476,0.06320130514679677,0.04487484542545811,0.056969736234733497,baseline,temperature_low_train__baseline__small__n005_te0600_r1_seed2
temperature,temperature_ood_0700K,small,5,600,2,320,69120,0.05511520746009742,0.07002500037926415,7.078539143723361e-15,1.98228930743644,0.009177265312205739,0.05662189005671967,0.07328046600545078,0.05360852486347517,0.06661061971079281,baseline,temperature_low_train__baseline__small__n005_te0600_r1_seed2
temperature,temperature_ood_0600K,small,10,300,0,320,69120,0.047224255471949604,0.06114273302782639,6.929699869484551e-15,0.4772411972284317,0.0022094499871686654,0.04609614518731839,0.05970435775999854,0.048352365756580806,0.0625480396870294,baseline,temperature_low_train__baseline__small__n010_te0300_r1_seed0
